Key,NameID,InfoID,TitleID,Body0ID,Body1ID
Kiki,CHAR_001_NAME,CHAR_001_INFO,CHAR_DETAIL_001_TITLE,CHAR_DETAIL_001_BODY0,CHAR_DETAIL_001_BODY1
Henk,CHAR_002_NAME,CHAR_002_INFO,CHAR_DETAIL_002_TITLE,CHAR_DETAIL_002_BODY0,CHAR_DETAIL_002_BODY1
Kevin,CHAR_003_NAME,CHAR_003_INFO,CHAR_DETAIL_003_TITLE,CHAR_DETAIL_003_BODY0,CHAR_DETAIL_003_BODY1
Boba,CHAR_004_NAME,CHAR_004_INFO,CHAR_DETAIL_004_TITLE,CHAR_DETAIL_004_BODY0,CHAR_DETAIL_004_BODY1
Kiki2,CHAR_005_NAME,CHAR_005_INFO,CHAR_DETAIL_005_TITLE,CHAR_DETAIL_005_BODY0,CHAR_DETAIL_005_BODY1
Dream,EVENT_001_NAME,EVENT_001_INFO,EVENT_DETAIL_001_TITLE,EVENT_DETAIL_001_BODY0,EVENT_DETAIL_001_BODY1
Suspicious,EVENT_002_NAME,EVENT_002_INFO,EVENT_DETAIL_002_TITLE,EVENT_DETAIL_002_BODY0,EVENT_DETAIL_002_BODY1
Qiqiao,EVENT_003_NAME,EVENT_003_INFO,EVENT_DETAIL_003_TITLE,EVENT_DETAIL_003_BODY0,EVENT_DETAIL_003_BODY1
Lockdown,EVENT_004_NAME,EVENT_004_INFO,EVENT_DETAIL_004_TITLE,EVENT_DETAIL_004_BODY0,EVENT_DETAIL_004_BODY1
Purser,EVENT_005_NAME,EVENT_005_INFO,EVENT_DETAIL_005_TITLE,EVENT_DETAIL_005_BODY0,EVENT_DETAIL_005_BODY1
